date,BEN,CH4,CO,EBE,NMHC,NO,NO_2,NOx,O_3,PM10,PM25,SO_2,TCH,TOL,station
2018-02-01 00:00:00,,,,,,75.0,102.0,217.0,,31.0,20.0,,,,28079048
2018-02-01 01:00:00,,,,,,30.0,85.0,131.0,,19.0,13.0,,,,28079048
2018-02-01 02:00:00,,,,,,59.0,89.0,179.0,,17.0,12.0,,,,28079048
2018-02-01 03:00:00,,,,,,55.0,85.0,169.0,,19.0,13.0,,,,28079048
2018-02-01 04:00:00,,,,,,11.0,67.0,84.0,,17.0,13.0,,,,28079048
2018-02-01 05:00:00,,,,,,16.0,65.0,90.0,,18.0,15.0,,,,28079048
2018-02-01 06:00:00,,,,,,57.0,71.0,158.0,,17.0,14.0,,,,28079048
2018-02-01 07:00:00,,,,,,96.0,83.0,229.0,,10.0,3.0,,,,28079048
2018-02-01 08:00:00,,,,,,161.0,90.0,337.0,,18.0,10.0,,,,28079048
2018-02-01 09:00:00,,,,,,215.0,102.0,431.0,,25.0,16.0,,,,28079048
2018-02-01 10:00:00,,,,,,260.0,112.0,510.0,,38.0,27.0,,,,28079048
2018-02-01 11:00:00,,,,,,182.0,100.0,378.0,,45.0,32.0,,,,28079048
2018-02-01 12:00:00,,,,,,146.0,94.0,318.0,,44.0,33.0,,,,28079048
2018-02-01 13:00:00,,,,,,162.0,101.0,350.0,,43.0,31.0,,,,28079048
2018-02-01 14:00:00,,,,,,77.0,74.0,192.0,,56.0,45.0,,,,28079048
2018-02-01 15:00:00,,,,,,21.0,43.0,76.0,,20.0,14.0,,,,28079048
2018-02-01 16:00:00,,,,,,26.0,71.0,111.0,,17.0,13.0,,,,28079048
2018-02-01 17:00:00,,,,,,22.0,59.0,93.0,,26.0,22.0,,,,28079048
2018-02-01 18:00:00,,,,,,18.0,57.0,85.0,,10.0,5.0,,,,28079048
2018-02-01 19:00:00,,,,,,11.0,46.0,63.0,,7.0,3.0,,,,28079048
2018-02-01 20:00:00,,,,,,1.0,26.0,27.0,,4.0,2.0,,,,28079048
2018-02-01 21:00:00,,,,,,1.0,28.0,29.0,,11.0,10.0,,,,28079048
2018-02-01 22:00:00,,,,,,1.0,26.0,28.0,,1.0,1.0,,,,28079048
2018-02-01 23:00:00,,,,,,1.0,19.0,21.0,,6.0,6.0,,,,28079048
2018-02-02 00:00:00,,,,,,1.0,15.0,17.0,,6.0,6.0,,,,28079048
2018-02-02 01:00:00,,,,,,1.0,11.0,13.0,,2.0,2.0,,,,28079048
2018-02-02 02:00:00,,,,,,1.0,13.0,14.0,,1.0,1.0,,,,28079048
2018-02-02 03:00:00,,,,,,3.0,15.0,19.0,,2.0,2.0,,,,28079048
2018-02-02 04:00:00,,,,,,3.0,20.0,25.0,,11.0,11.0,,,,28079048
2018-02-02 05:00:00,,,,,,1.0,12.0,14.0,,6.0,6.0,,,,28079048
2018-02-02 06:00:00,,,,,,1.0,17.0,19.0,,1.0,1.0,,,,28079048
2018-02-02 07:00:00,,,,,,4.0,32.0,38.0,,1.0,1.0,,,,28079048
2018-02-02 08:00:00,,,,,,7.0,52.0,63.0,,6.0,6.0,,,,28079048
2018-02-02 09:00:00,,,,,,13.0,70.0,90.0,,13.0,13.0,,,,28079048
2018-02-02 10:00:00,,,,,,8.0,43.0,55.0,,10.0,9.0,,,,28079048
2018-02-02 11:00:00,,,,,,6.0,22.0,32.0,,9.0,7.0,,,,28079048
2018-02-02 12:00:00,,,,,,8.0,24.0,36.0,,8.0,7.0,,,,28079048
2018-02-02 13:00:00,,,,,,8.0,23.0,36.0,,12.0,10.0,,,,28079048
2018-02-02 14:00:00,,,,,,11.0,27.0,43.0,,10.0,8.0,,,,28079048
2018-02-02 15:00:00,,,,,,8.0,26.0,39.0,,2.0,2.0,,,,28079048
